id,version,method,target_x,target_y,sourceCenter_x,sourceCenter_y,sourceRadius,source_x,source_y,visited
achiran-001,0.0.3,A*,567,583,341,462,229,539,572,219
achiran-001,0.0.3,BFS,567,583,341,462,229,541,573,1382
achiran-002,0.0.3,A*,1954,623,1824,958,244,1926,737,1650
achiran-002,0.0.3,BFS,1954,623,1824,958,244,1931,740,12585
achiran-003,0.0.3,A*,1561,157,1060,204,464,1519,152,417
achiran-003,0.0.3,BFS,1561,157,1060,204,464,1519,150,3091
achiran-004,0.0.3,A*,1255,803,1043,911,48,1076,927,1847
achiran-004,0.0.3,BFS,1255,803,1043,911,48,1077,927,103976
achiran-005,0.0.3,A*,837,245,900,872,17,885,870,1076164
achiran-005,0.0.3,BFS,837,245,900,872,17,884,870,1084541
achiran-006,0.0.3,A*,1883,875,1712,1316,435,1894,921,570
achiran-006,0.0.3,BFS,1883,875,1712,1316,435,1894,921,3194
achiran-007,0.0.3,BFS,377,481,669,715,292,453,520,14992
achiran-008,0.0.3,BFS,1481,955,1826,1225,333,1559,1027,20659
achiran-009,0.0.3,A*,962,246,1065,589,100,967,594,912832
achiran-009,0.0.3,BFS,962,246,1065,589,100,966,594,929516
achiran-010,0.0.3,A*,1473,1203,1063,1261,358,1418,1221,412
achiran-010,0.0.3,BFS,1473,1203,1063,1261,358,1418,1221,7458
achiran-011,0.0.3,A*,981,905,1437,902,397,1041,910,331
achiran-011,0.0.3,BFS,981,905,1437,902,397,1041,910,5224
achiran-012,0.0.3,A*,1501,985,1287,574,396,1454,933,786
achiran-012,0.0.3,BFS,1501,985,1287,574,396,1454,933,10298
achiran-013,0.0.3,A*,1108,173,1608,110,265,1345,88,13062
achiran-013,0.0.3,BFS,1108,173,1608,110,265,1345,87,94211
achiran-014,0.0.3,A*,1480,955,1770,1489,448,1529,1112,2442
achiran-014,0.0.3,BFS,1480,955,1770,1489,448,1528,1112,34494
achiran-015,0.0.3,BFS,1014,1074,1161,1117,99,1073,1081,4310
achiran-016,0.0.3,A*,1668,1197,1453,1395,261,1695,1306,1663
achiran-016,0.0.3,BFS,1668,1197,1453,1395,261,1694,1306,16405
achiran-017,0.0.3,A*,1302,1497,1696,1239,413,1361,1478,619
achiran-017,0.0.3,BFS,1302,1497,1696,1239,413,1360,1479,6430
achiran-018,0.0.3,A*,1156,1120,976,1057,142,1104,1117,291
achiran-018,0.0.3,BFS,1156,1120,976,1057,142,1104,1118,2572
achiran-019,0.0.3,BFS,1362,1476,1572,1116,387,1405,1465,3024
achiran-020,0.0.3,A*,1479,140,1876,277,179,1774,131,34228
achiran-020,0.0.3,BFS,1479,140,1876,277,179,1774,130,85481
achiran-021,0.0.3,A*,1188,1027,1627,1162,403,1289,944,1231
achiran-021,0.0.3,BFS,1188,1027,1627,1162,403,1289,944,59656
achiran-022,0.0.3,A*,1450,1434,1277,1500,131,1402,1465,629
achiran-022,0.0.3,BFS,1450,1434,1277,1500,131,1403,1465,7710
achiran-023,0.0.3,A*,937,532,870,872,10,877,870,2250
achiran-023,0.0.3,BFS,937,532,870,872,10,879,870,146046
achiran-024,0.0.3,BFS,1895,912,1799,1262,241,1886,1038,20905
achiran-025,0.0.3,A*,1260,883,1387,918,24,1373,936,4110
achiran-025,0.0.3,BFS,1260,883,1387,918,24,1373,936,46936
achiran-026,0.0.3,BFS,1863,247,1940,612,290,1898,326,15076
achiran-027,0.0.3,A*,610,159,79,792,483,369,406,2355
achiran-027,0.0.3,BFS,610,159,79,792,483,369,406,242242
achiran-028,0.0.3,A*,1769,1368,1889,1081,309,1778,1369,92
achiran-028,0.0.3,BFS,1769,1368,1889,1081,309,1778,1369,157
achiran-029,0.0.3,A*,543,789,173,840,310,477,782,867
achiran-029,0.0.3,BFS,543,789,173,840,310,477,782,9011
achiran-030,0.0.3,A*,1250,77,598,589,439,905,276,4134
achiran-030,0.0.3,BFS,1250,77,598,589,439,905,276,153063
achiran-031,0.0.3,BFS,449,776,138,846,112,244,810,81776
achiran-032,0.0.3,A*,804,844,1010,922,155,865,872,618
achiran-032,0.0.3,BFS,804,844,1010,922,155,864,872,10906
achiran-033,0.0.3,A*,859,520,364,409,408,751,530,5200
achiran-033,0.0.3,BFS,859,520,364,409,408,733,577,26674
achiran-034,0.0.3,A*,416,768,223,820,152,363,766,357
achiran-034,0.0.3,BFS,416,768,223,820,152,365,766,3444
achiran-035,0.0.3,A*,1258,1353,1588,1150,362,1276,1333,241
achiran-035,0.0.3,BFS,1258,1353,1588,1150,362,1276,1333,1668
achiran-036,0.0.3,BFS,1220,90,953,255,264,1175,113,4870
achiran-037,0.0.3,BFS,1444,161,1822,413,390,1540,144,12882
achiran-038,0.0.3,A*,707,870,1097,536,392,893,870,4863
achiran-038,0.0.3,BFS,707,870,1097,536,392,892,870,52353
achiran-039,0.0.3,A*,781,1101,1063,919,301,839,1120,677
achiran-039,0.0.3,BFS,781,1101,1063,919,301,839,1120,9147
